 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 1,1100,+100,85.000000 
 1,1400,+6,75.000000 
 1,1400,+7,75.000000 
 1,1400,+8,75.000000 
 1,1400,+9,65.000000 
 1,1400,+10,55.000000 
 1,1400,+11,45.000000 
 1,1400,+12,35.000000 
 1,1400,+13,25.000000 
 1,1400,+14,20.000000 
 1,1400,+15,20.000000 
 1,1400,+16,15.000000 
 1,1400,+17,15.000000 
 1,1400,+18,20.000000 
 1,1400,+19,25.000000 
 1,1400,+20,25.000000 
 1,1400,+21,30.000000 
 1,1400,+22,30.000000 
 1,1400,+23,35.000000 
 1,1400,+24,35.000000 
 1,1400,+25,35.000000 
 1,1400,+26,35.000000 
 1,1400,+27,30.000000 
 1,1400,+28,30.000000 
 1,1400,+29,35.000000 
 1,1400,+30,35.000000 
 1,1400,+31,40.000000 
 1,1400,+32,40.000000 
 1,1400,+33,40.000000 
 1,1400,+34,35.000000 
 1,1400,+35,30.000000 
 1,1400,+36,25.000000 
 1,1400,+37,20.000000 
 1,1400,+38,15.000000 
 1,1400,+39,15.000000 
 1,1400,+40,15.000000 
 1,1400,+41,15.000000 
 1,1400,+42,20.000000 
 1,1400,+43,25.000000 
 1,1400,+44,35.000000 
 1,1400,+45,40.000000 
 1,1400,+46,40.000000 
 1,1400,+47,45.000000 
 1,1400,+48,50.000000 
 1,1400,+49,50.000000 
 1,1400,+50,55.000000 
 1,1400,+51,55.000000 
 1,1400,+52,60.000000 
 1,1400,+53,60.000000 
 1,1400,+54,60.000000 
 1,1400,+55,60.000000 
 1,1400,+56,60.000000 
 1,1400,+57,55.000000 
 1,1400,+58,45.000000 
 1,1400,+59,35.000000 
 1,1400,+60,35.000000 
 1,1400,+61,30.000000 
 1,1400,+62,30.000000 
 1,1400,+63,35.000000 
 1,1400,+64,35.000000 
 1,1400,+65,35.000000 
 1,1400,+66,40.000000 
 1,1400,+67,45.000000 
 1,1400,+68,50.000000 
 1,1400,+69,55.000000 
 1,1400,+70,55.000000 
 1,1400,+71,60.000000 
 1,1400,+72,60.000000 
 1,1400,+73,60.000000 
 1,1400,+76,60.000000 
 1,1400,+79,60.000000 
 1,1400,+82,55.000000 
 1,1400,+85,45.000000 
 1,1400,+88,50.000000 
 1,1400,+91,75.000000 
 1,1400,+94,80.000000 
 1,1400,+97,85.000000 
 1,1700,+6,65.000000 
 1,1700,+7,55.000000 
 1,1700,+8,45.000000 
 1,1700,+9,35.000000 
 1,1700,+10,25.000000 
 1,1700,+11,20.000000 
 1,1700,+12,20.000000 
 1,1700,+13,15.000000 
 1,1700,+14,15.000000 
 1,1700,+15,20.000000 
 1,1700,+16,25.000000 
 1,1700,+17,25.000000 
 1,1700,+18,30.000000 
 1,1700,+19,30.000000 
 1,1700,+20,35.000000 
 1,1700,+21,35.000000 
 1,1700,+22,35.000000 
 1,1700,+23,35.000000 
 1,1700,+24,30.000000 
 1,1700,+25,30.000000 
 1,1700,+26,35.000000 
 1,1700,+27,35.000000 
 1,1700,+28,40.000000 
 1,1700,+29,40.000000 
 1,1700,+30,40.000000 
 1,1700,+31,35.000000 
 1,1700,+32,30.000000 
 1,1700,+33,25.000000 
 1,1700,+34,20.000000 
 1,1700,+35,15.000000 
 1,1700,+36,15.000000 
 1,1700,+37,15.000000 
 1,1700,+38,15.000000 
 1,1700,+39,20.000000 
 1,1700,+40,25.000000 
 1,1700,+41,35.000000 
 1,1700,+42,40.000000 
 1,1700,+43,40.000000 
 1,1700,+44,45.000000 
 1,1700,+45,50.000000 
 1,1700,+46,50.000000 
 1,1700,+47,55.000000 
 1,1700,+48,55.000000 
 1,1700,+49,60.000000 
 1,1700,+50,60.000000 
 1,1700,+51,60.000000 
 1,1700,+52,60.000000 
 1,1700,+53,60.000000 
 1,1700,+54,55.000000 
 1,1700,+55,45.000000 
 1,1700,+56,35.000000 
 1,1700,+57,35.000000 
 1,1700,+58,30.000000 
 1,1700,+59,30.000000 
 1,1700,+60,35.000000 
 1,1700,+61,35.000000 
 1,1700,+62,35.000000 
 1,1700,+63,40.000000 
 1,1700,+64,45.000000 
 1,1700,+65,50.000000 
 1,1700,+66,55.000000 
 1,1700,+67,55.000000 
 1,1700,+68,60.000000 
 1,1700,+69,60.000000 
 1,1700,+70,60.000000 
 1,1700,+73,60.000000 
 1,1700,+76,60.000000 
 1,1700,+79,55.000000 
 1,1700,+82,45.000000 
 1,1700,+85,50.000000 
 1,1700,+88,75.000000 
 1,1700,+91,80.000000 
 1,1700,+94,85.000000 
 1,2000,+6,35.000000 
 1,2000,+7,25.000000 
 1,2000,+8,20.000000 
 1,2000,+9,20.000000 
 1,2000,+10,15.000000 
 1,2000,+11,15.000000 
 1,2000,+12,20.000000 
 1,2000,+13,25.000000 
 1,2000,+14,30.000000 
 1,2000,+15,35.000000 
 1,2000,+16,30.000000 
 1,2000,+17,35.000000 
 1,2000,+18,35.000000 
 1,2000,+19,35.000000 
 1,2000,+20,35.000000 
 1,2000,+21,30.000000 
 1,2000,+22,35.000000 
 1,2000,+23,35.000000 
 1,2000,+24,35.000000 
 1,2000,+25,40.000000 
 1,2000,+26,40.000000 
 1,2000,+27,40.000000 
 1,2000,+28,40.000000 
 1,2000,+29,30.000000 
 1,2000,+30,25.000000 
 1,2000,+31,20.000000 
 1,2000,+32,15.000000 
 1,2000,+33,20.000000 
 1,2000,+34,20.000000 
 1,2000,+35,20.000000 
 1,2000,+36,25.000000 
 1,2000,+37,30.000000 
 1,2000,+38,35.000000 
 1,2000,+39,40.000000 
 1,2000,+40,40.000000 
 1,2000,+41,45.000000 
 1,2000,+42,45.000000 
 1,2000,+43,50.000000 
 1,2000,+44,50.000000 
 1,2000,+45,60.000000 
 1,2000,+46,60.000000 
 1,2000,+47,65.000000 
 1,2000,+48,65.000000 
 1,2000,+49,65.000000 
 1,2000,+50,65.000000 
 1,2000,+51,65.000000 
 1,2000,+52,55.000000 
 1,2000,+53,45.000000 
 1,2000,+54,40.000000 
 1,2000,+55,40.000000 
 1,2000,+56,35.000000 
 1,2000,+57,35.000000 
 1,2000,+58,35.000000 
 1,2000,+59,40.000000 
 1,2000,+60,40.000000 
 1,2000,+61,50.000000 
 1,2000,+62,50.000000 
 1,2000,+63,55.000000 
 1,2000,+64,55.000000 
 1,2000,+65,60.000000 
 1,2000,+66,60.000000 
 1,2000,+67,60.000000 
 1,2000,+70,65.000000 
 1,2000,+73,70.000000 
 1,2000,+76,60.000000 
 1,2000,+79,45.000000 
 1,2000,+82,45.000000 
 1,2000,+85,65.000000 
 1,2000,+88,75.000000 
 1,2000,+91,80.000000 
 1,2300,+6,20.000000 
 1,2300,+7,15.000000 
 1,2300,+8,15.000000 
 1,2300,+9,20.000000 
 1,2300,+10,25.000000 
 1,2300,+11,30.000000 
 1,2300,+12,35.000000 
 1,2300,+13,30.000000 
 1,2300,+14,35.000000 
 1,2300,+15,35.000000 
 1,2300,+16,35.000000 
 1,2300,+17,35.000000 
 1,2300,+18,30.000000 
 1,2300,+19,35.000000 
 1,2300,+20,35.000000 
 1,2300,+21,35.000000 
 1,2300,+22,40.000000 
 1,2300,+23,40.000000 
 1,2300,+24,40.000000 
 1,2300,+25,40.000000 
 1,2300,+26,30.000000 
 1,2300,+27,25.000000 
 1,2300,+28,20.000000 
 1,2300,+29,15.000000 
 1,2300,+30,20.000000 
 1,2300,+31,20.000000 
 1,2300,+32,20.000000 
 1,2300,+33,25.000000 
 1,2300,+34,30.000000 
 1,2300,+35,35.000000 
 1,2300,+36,40.000000 
 1,2300,+37,40.000000 
 1,2300,+38,45.000000 
 1,2300,+39,45.000000 
 1,2300,+40,50.000000 
 1,2300,+41,50.000000 
 1,2300,+42,60.000000 
 1,2300,+43,60.000000 
