 format: day,hour,forecast,value  location:98_79 Start : 20250101 
 1,1400,+60,5.000000 
 1,1400,+61,6.000000 
 1,1400,+62,7.000000 
 1,1400,+63,8.000000 
 1,1400,+64,8.000000 
 1,1400,+65,7.000000 
 1,1400,+66,5.000000 
 1,1400,+67,3.000000 
 1,1400,+68,1.000000 
 1,1400,+69,0.000000 
 1,1400,+70,-1.000000 
 1,1400,+71,-2.000000 
 1,1400,+72,-2.000000 
 1,1400,+73,-3.000000 
 1,1400,+76,-4.000000 
 1,1400,+79,-4.000000 
 1,1400,+82,0.000000 
 1,1400,+85,8.000000 
 1,1400,+88,9.000000 
 1,1400,+91,4.000000 
 1,1400,+94,3.000000 
 1,1400,+97,2.000000 
 1,1700,+6,-2.000000 
 1,1700,+7,2.000000 
 1,1700,+8,6.000000 
 1,1700,+9,9.000000 
 1,1700,+10,10.000000 
 1,1700,+11,11.000000 
 1,1700,+12,12.000000 
 1,1700,+13,12.000000 
 1,1700,+14,11.000000 
 1,1700,+15,9.000000 
 1,1700,+16,6.000000 
 1,1700,+17,4.000000 
 1,1700,+18,2.000000 
 1,1700,+19,1.000000 
 1,1700,+20,1.000000 
 1,1700,+21,0.000000 
 1,1700,+22,0.000000 
 1,1700,+23,0.000000 
 1,1700,+24,-1.000000 
 1,1700,+25,-1.000000 
 1,1700,+26,-1.000000 
 1,1700,+27,-1.000000 
 1,1700,+28,-1.000000 
 1,1700,+29,-1.000000 
 1,1700,+30,-2.000000 
 1,1700,+31,0.000000 
 1,1700,+32,2.000000 
 1,1700,+33,4.000000 
 1,1700,+34,5.000000 
 1,1700,+35,5.000000 
 1,1700,+36,6.000000 
 1,1700,+37,6.000000 
 1,1700,+38,5.000000 
 1,1700,+39,4.000000 
 1,1700,+40,2.000000 
 1,1700,+41,0.000000 
 1,1700,+42,-1.000000 
 1,1700,+43,-1.000000 
 1,1700,+44,-2.000000 
 1,1700,+45,-3.000000 
 1,1700,+46,-3.000000 
 1,1700,+47,-3.000000 
 1,1700,+48,-3.000000 
 1,1700,+49,-3.000000 
 1,1700,+50,-3.000000 
 1,1700,+51,-3.000000 
 1,1700,+52,-3.000000 
 1,1700,+53,-3.000000 
 1,1700,+54,-4.000000 
 1,1700,+55,-1.000000 
 1,1700,+56,3.000000 
 1,1700,+57,5.000000 
 1,1700,+58,6.000000 
 1,1700,+59,7.000000 
 1,1700,+60,8.000000 
 1,1700,+61,8.000000 
 1,1700,+62,7.000000 
 1,1700,+63,5.000000 
 1,1700,+64,3.000000 
 1,1700,+65,1.000000 
 1,1700,+66,0.000000 
 1,1700,+67,-1.000000 
 1,1700,+68,-2.000000 
 1,1700,+69,-2.000000 
 1,1700,+70,-3.000000 
 1,1700,+73,-4.000000 
 1,1700,+76,-4.000000 
 1,1700,+79,0.000000 
 1,1700,+82,8.000000 
 1,1700,+85,9.000000 
 1,1700,+88,4.000000 
 1,1700,+91,3.000000 
 1,1700,+94,2.000000 
 1,2000,+6,9.000000 
 1,2000,+7,10.000000 
 1,2000,+8,11.000000 
 1,2000,+9,12.000000 
 1,2000,+10,12.000000 
 1,2000,+11,11.000000 
 1,2000,+12,9.000000 
 1,2000,+13,6.000000 
 1,2000,+14,4.000000 
 1,2000,+15,3.000000 
 1,2000,+16,2.000000 
 1,2000,+17,1.000000 
 1,2000,+18,1.000000 
 1,2000,+19,1.000000 
 1,2000,+20,0.000000 
 1,2000,+21,0.000000 
 1,2000,+22,0.000000 
 1,2000,+23,0.000000 
 1,2000,+24,0.000000 
 1,2000,+25,-1.000000 
 1,2000,+26,-1.000000 
 1,2000,+27,-1.000000 
 1,2000,+28,0.000000 
 1,2000,+29,2.000000 
 1,2000,+30,4.000000 
 1,2000,+31,5.000000 
 1,2000,+32,5.000000 
 1,2000,+33,6.000000 
 1,2000,+34,6.000000 
 1,2000,+35,5.000000 
 1,2000,+36,4.000000 
 1,2000,+37,2.000000 
 1,2000,+38,0.000000 
 1,2000,+39,-1.000000 
 1,2000,+40,-1.000000 
 1,2000,+41,-2.000000 
 1,2000,+42,-2.000000 
 1,2000,+43,-2.000000 
 1,2000,+44,-2.000000 
 1,2000,+45,-3.000000 
 1,2000,+46,-2.000000 
 1,2000,+47,-2.000000 
 1,2000,+48,-3.000000 
 1,2000,+49,-3.000000 
 1,2000,+50,-3.000000 
 1,2000,+51,-3.000000 
 1,2000,+52,0.000000 
 1,2000,+53,3.000000 
 1,2000,+54,5.000000 
 1,2000,+55,7.000000 
 1,2000,+56,8.000000 
 1,2000,+57,8.000000 
 1,2000,+58,8.000000 
 1,2000,+59,7.000000 
 1,2000,+60,6.000000 
 1,2000,+61,3.000000 
 1,2000,+62,2.000000 
 1,2000,+63,0.000000 
 1,2000,+64,-1.000000 
 1,2000,+65,-2.000000 
 1,2000,+66,-2.000000 
 1,2000,+67,-3.000000 
 1,2000,+70,-3.000000 
 1,2000,+73,-3.000000 
 1,2000,+76,1.000000 
 1,2000,+79,8.000000 
 1,2000,+82,10.000000 
 1,2000,+85,5.000000 
 1,2000,+88,4.000000 
 1,2000,+91,3.000000 
 1,2300,+6,12.000000 
 1,2300,+7,12.000000 
 1,2300,+8,11.000000 
 1,2300,+9,9.000000 
 1,2300,+10,6.000000 
 1,2300,+11,4.000000 
 1,2300,+12,3.000000 
 1,2300,+13,2.000000 
 1,2300,+14,1.000000 
 1,2300,+15,1.000000 
 1,2300,+16,1.000000 
 1,2300,+17,0.000000 
 1,2300,+18,0.000000 
 1,2300,+19,0.000000 
 1,2300,+20,0.000000 
 1,2300,+21,0.000000 
 1,2300,+22,-1.000000 
 1,2300,+23,-1.000000 
 1,2300,+24,-1.000000 
 1,2300,+25,0.000000 
 1,2300,+26,2.000000 
 1,2300,+27,4.000000 
 1,2300,+28,5.000000 
 1,2300,+29,5.000000 
 1,2300,+30,6.000000 
 1,2300,+31,6.000000 
 1,2300,+32,5.000000 
 1,2300,+33,4.000000 
 1,2300,+34,2.000000 
 1,2300,+35,0.000000 
 1,2300,+36,-1.000000 
 1,2300,+37,-1.000000 
 1,2300,+38,-2.000000 
 1,2300,+39,-2.000000 
 1,2300,+40,-2.000000 
 1,2300,+41,-2.000000 
 1,2300,+42,-3.000000 
 1,2300,+43,-2.000000 
 1,2300,+44,-2.000000 
 1,2300,+45,-3.000000 
 1,2300,+46,-3.000000 
 1,2300,+47,-3.000000 
 1,2300,+48,-3.000000 
 1,2300,+49,0.000000 
 1,2300,+50,3.000000 
 1,2300,+51,5.000000 
 1,2300,+52,7.000000 
 1,2300,+53,8.000000 
 1,2300,+54,8.000000 
 1,2300,+55,8.000000 
 1,2300,+56,7.000000 
 1,2300,+57,6.000000 
 1,2300,+58,3.000000 
 1,2300,+59,2.000000 
 1,2300,+60,0.000000 
 1,2300,+61,-1.000000 
 1,2300,+62,-2.000000 
 1,2300,+63,-2.000000 
 1,2300,+64,-3.000000 
 1,2300,+67,-3.000000 
 1,2300,+70,-3.000000 
 1,2300,+73,1.000000 
 1,2300,+76,8.000000 
 1,2300,+79,10.000000 
 1,2300,+82,5.000000 
 1,2300,+85,4.000000 
 1,2300,+88,3.000000 
 Start : 20250102 
 2,0200,+6,9.000000 
 2,0200,+7,6.000000 
 2,0200,+8,4.000000 
 2,0200,+9,3.000000 
 2,0200,+10,2.000000 
 2,0200,+11,1.000000 
 2,0200,+12,1.000000 
 2,0200,+13,1.000000 
 2,0200,+14,0.000000 
 2,0200,+15,0.000000 
 2,0200,+16,0.000000 
 2,0200,+17,0.000000 
 2,0200,+18,0.000000 
 2,0200,+19,-1.000000 
 2,0200,+20,-1.000000 
 2,0200,+21,-1.000000 
 2,0200,+22,0.000000 
 2,0200,+23,2.000000 
 2,0200,+24,4.000000 
 2,0200,+25,5.000000 
 2,0200,+26,5.000000 
 2,0200,+27,6.000000 
 2,0200,+28,6.000000 
 2,0200,+29,5.000000 
 2,0200,+30,4.000000 
 2,0200,+31,2.000000 
 2,0200,+32,0.000000 
 2,0200,+33,-1.000000 
 2,0200,+34,-1.000000 
 2,0200,+35,-2.000000 
 2,0200,+36,-2.000000 
 2,0200,+37,-2.000000 
 2,0200,+38,-2.000000 
 2,0200,+39,-3.000000 
 2,0200,+40,-2.000000 
 2,0200,+41,-2.000000 
 2,0200,+42,-3.000000 
 2,0200,+43,-3.000000 
 2,0200,+44,-3.000000 
 2,0200,+45,-3.000000 
 2,0200,+46,0.000000 
 2,0200,+47,3.000000 
 2,0200,+48,5.000000 
 2,0200,+49,7.000000 
 2,0200,+50,8.000000 
 2,0200,+51,8.000000 
 2,0200,+52,8.000000 
 2,0200,+53,7.000000 
 2,0200,+54,6.000000 
 2,0200,+55,3.000000 
 2,0200,+56,2.000000 
 2,0200,+57,0.000000 
 2,0200,+58,-1.000000 
 2,0200,+59,-2.000000 
 2,0200,+60,-2.000000 
 2,0200,+61,-3.000000 
 2,0200,+64,-3.000000 
 2,0200,+67,-3.000000 
 2,0200,+70,1.000000 
 2,0200,+73,8.000000 
 2,0200,+76,10.000000 
 2,0200,+79,5.000000 
 2,0200,+82,4.000000 
 2,0200,+85,3.000000 
 2,0500,+6,3.000000 
 2,0500,+7,2.000000 
 2,0500,+8,1.000000 
 2,0500,+9,1.000000 
 2,0500,+10,1.000000 
 2,0500,+11,0.000000 
 2,0500,+12,0.000000 
 2,0500,+13,0.000000 
 2,0500,+14,0.000000 
 2,0500,+15,0.000000 
 2,0500,+16,-1.000000 
 2,0500,+17,-1.000000 
 2,0500,+18,-1.000000 
 2,0500,+19,0.000000 
 2,0500,+20,2.000000 
 2,0500,+21,4.000000 
 2,0500,+22,5.000000 
 2,0500,+23,5.000000 
 2,0500,+24,6.000000 
 2,0500,+25,6.000000 
 2,0500,+26,5.000000 
 2,0500,+27,4.000000 
 2,0500,+28,2.000000 
 2,0500,+29,0.000000 
 2,0500,+30,-1.000000 
 2,0500,+31,-1.000000 
 2,0500,+32,-2.000000 
 2,0500,+33,-2.000000 
 2,0500,+34,-2.000000 
 2,0500,+35,-2.000000 
 2,0500,+36,-3.000000 
 2,0500,+37,-2.000000 
 2,0500,+38,-2.000000 
 2,0500,+39,-3.000000 
 2,0500,+40,-3.000000 
 2,0500,+41,-3.000000 
 2,0500,+42,-3.000000 
 2,0500,+43,0.000000 
 2,0500,+44,3.000000 
 2,0500,+45,5.000000 
 2,0500,+46,7.000000 
 2,0500,+47,8.000000 
 2,0500,+48,8.000000 
 2,0500,+49,8.000000 
 2,0500,+50,7.000000 
 2,0500,+51,6.000000 
 2,0500,+52,3.000000 
 2,0500,+53,2.000000 
 2,0500,+54,0.000000 
 2,0500,+55,-1.000000 
 2,0500,+56,-2.000000 
 2,0500,+57,-2.000000 
 2,0500,+58,-3.000000 
 2,0500,+61,-3.000000 
 2,0500,+64,-3.000000 
